id,year,name,agency,cfr,total_cost,total_cost_link,annual_cost,annual_cost_link,burden_hours,burden_hours_link,notes,final,tag_1,tag_2,tag_3,updated
240640,2012,Certification of Compliance With Meal Requirements,Agriculture,Agriculture,11000000,,2200000,http://www.federalregister.gov/a/2012-10229/p-83,156608,http://www.federalregister.gov/a/2012-10229/p-104,,1,0,0,1,2012-04-27 20:23:52
247296,2013,School Breakfast Program: Eliminating Applications,Agriculture,Agriculture,0,,0,,-6491,http://www.federalregister.gov/a/2013-25922/p-137,,0,0,0,0,2013-11-04 21:25:30
247297,2013,Prior Label Approval System: Generic Label Approval,Agriculture,Energy & Environment,-12400000,http://www.federalregister.gov/a/2013-26639/p-114,-1900000,http://www.federalregister.gov/a/2013-26639/p-114,-34971,http://www.federalregister.gov/a/2013-26639/p-134,,1,0,0,0,2013-11-07 21:25:30
247298,2013,Hardwood Lumber and Hardwood Plywood Promotion,Agriculture,Agriculture,152000,http://www.federalregister.gov/a/2013-27108/p-202,152000,http://www.federalregister.gov/a/2013-27108/p-202,4612,http://www.federalregister.gov/a/2013-27108/p-202,,0,0,0,0,2013-11-13 21:25:30
247299,2013,ENERGY EFFICIENCY AND CONSERVATION LOAN PROGRAM ,Agriculture,Energy & Environment,0,http://www.gao.gov/fedrules/176054,0,http://www.gao.gov/fedrules/176054,0,http://www.gao.gov/fedrules/176054,,1,0,0,1,2013-12-05 21:25:30
247300,2013,Section 306D Water Systems for Rural and Native Villages in Alaska,Agriculture,Agriculture,0,,0,,851,http://www.federalregister.gov/a/2013-30189/p-50,,0,0,0,0,2013-12-20 21:25:30
247301,2013,Importation of Beef From a Region in Brazil,Agriculture,Energy & Environment,0,,0,,1606,http://www.federalregister.gov/a/2013-30464/p-88,,0,0,0,0,2013-12-23 21:25:30
247302,2013,Nondiscrimination in Programs or Activities,Agriculture,Agriculture,5000,http://www.federalregister.gov/a/2013-30812/p-24,5000,http://www.federalregister.gov/a/2013-30812/p-24,68,http://www.federalregister.gov/a/2013-30812/p-24,,0,0,0,0,2013-12-27 21:25:30
318982,2024,Child Nutrition Programs: Meal Patterns Consistent With the 2020-2025 Dietary Guidelines for Americans,Agriculture,Agriculture,761000000,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1916,140000000,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1916,635197,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1190,,1,0,0,0,2024-04-25 17:33:09
276231,2022,National Organic Program; Origin of Livestock,Agriculture,Agriculture,1230000,https://www.federalregister.gov/documents/2022/04/05/2022-06957/national-organic-program-origin-of-livestock#p-252,1230000,https://www.federalregister.gov/documents/2022/04/05/2022-06957/national-organic-program-origin-of-livestock#p-252,,,,1,0,0,0,2022-04-05 15:12:43
240903,2012,Independent Review of Applications,Agriculture,Agriculture,0,,0,,378,http://www.federalregister.gov/a/2012-22261/p-74,,0,0,0,0,2012-09-13 20:23:53
243975,2015,Administrative Reviews in the School Nutrition Programs,Agriculture,Agriculture,0,,0,,1739,http://www.federalregister.gov/a/2015-10613/p-239,,0,0,0,0,2015-05-11 20:45:24
